SRR032273.fastq.gz	blood
SRR032276.fastq.gz	blood
SRR032277.fastq.gz	blood
SRR032278.fastq.gz	blood
SRR034203.fastq.gz	blood
SRR039628.fastq.gz	brain
SRR039629.fastq.gz	brain
SRR039630.fastq.gz	brain
SRR039631.fastq.gz	brain
SRR039632.fastq.gz	brain
SRR039633.fastq.gz	brain
SRR066462.fastq.gz	brain
SRR066463.fastq.gz	brain
SRR066464.fastq.gz	brain
SRR066465.fastq.gz	brain
SRR066466.fastq.gz	brain
SRR066467.fastq.gz	brain
SRR066468.fastq.gz	brain
SRR095854.fastq.gz	brain
SRR1002075.fastq.gz	breast
SRR1002076.fastq.gz	breast
SRR1002077.fastq.gz	breast
SRR1002078.fastq.gz	breast
SRR1002079.fastq.gz	breast
SRR1002080.fastq.gz	breast
SRR1002081.fastq.gz	breast
SRR1002082.fastq.gz	breast
SRR1002083.fastq.gz	breast
SRR1002084.fastq.gz	breast
SRR1002085.fastq.gz	breast
SRR1002086.fastq.gz	breast
SRR1002087.fastq.gz	breast
SRR1002088.fastq.gz	breast
SRR1002089.fastq.gz	breast
SRR1002090.fastq.gz	breast
SRR1002091.fastq.gz	breast
SRR1002092.fastq.gz	breast
SRR1002093.fastq.gz	breast
SRR1002094.fastq.gz	breast
SRR1002095.fastq.gz	breast
SRR1002096.fastq.gz	breast
SRR1002097.fastq.gz	breast
SRR1002098.fastq.gz	breast
SRR1002099.fastq.gz	breast
SRR1002100.fastq.gz	breast
SRR1002101.fastq.gz	breast
SRR1012314.fastq.gz	blood
SRR1012315.fastq.gz	blood
SRR1012316.fastq.gz	blood
SRR1012317.fastq.gz	blood
SRR1012318.fastq.gz	blood
SRR1012319.fastq.gz	blood
SRR1012320.fastq.gz	blood
SRR1012321.fastq.gz	blood
SRR1012322.fastq.gz	blood
SRR1012323.fastq.gz	blood
SRR1012324.fastq.gz	blood
SRR1012325.fastq.gz	blood
SRR1012326.fastq.gz	blood
SRR1012327.fastq.gz	blood
SRR1012328.fastq.gz	blood
SRR1012329.fastq.gz	blood
SRR1012330.fastq.gz	blood
SRR1012331.fastq.gz	blood
SRR1012332.fastq.gz	blood
SRR1012333.fastq.gz	blood
SRR1012334.fastq.gz	blood
SRR1012335.fastq.gz	blood
SRR1012336.fastq.gz	blood
SRR1013488.fastq.gz	breast
SRR1023790.fastq.gz	breast
SRR1023791.fastq.gz	breast
SRR1023792.fastq.gz	breast
SRR1023793.fastq.gz	breast
SRR1023794.fastq.gz	breast
SRR1023795.fastq.gz	breast
SRR1023796.fastq.gz	breast
SRR1023797.fastq.gz	breast
SRR1023798.fastq.gz	breast
SRR1023799.fastq.gz	breast
SRR1023800.fastq.gz	breast
SRR1024048.fastq.gz	breast
SRR1024120.fastq.gz	brain
SRR1024121.fastq.gz	brain
SRR1024122.fastq.gz	brain
SRR1024123.fastq.gz	brain
